Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Illes-Seifert, Timea Monika; ",Justified test foci definition an empirical approach Systematische Auswahl des Testfocus ein empirischer Ansatz,,,,,,
"陈翔; 顾庆; 刘望舒; 刘树龙; 倪超; ",静态软件缺陷预测方法研究,Journal of Software,27,1,,2016,
"門田暁人; 伊原彰紀; 松本健一; ",『ソフトウェア工学の実証的アプローチ』 シリーズ第 5 回 ソフトウェアリポジトリマイニング,コンピュータ ソフトウェア,30,2,2_52-2_65,2013,日本ソフトウェア科学会
"畑秀明; 水野修; 菊野亨; ",開発履歴メトリクスを用いた細粒度な Fault-prone モジュール予測,情報処理学会論文誌,53,6,1635-1643,2012,情報処理学会
"水野修; ",Fault-proneness Filtering--スパムフィルタに基づく不具合混入ソフトウェアモジュールの予測手法,生産と技術,61,1,38-43,2009,生産技術振興協会
"van der Beek, M; van Buuren, A; Pingen, R; van Paridon, O; ",Mining Software Repositories en Bug Databases,,,,,,
"西川朋希; 門田暁人; 森崎修司; 松本健一; ",fault-prone モジュール判別のための相関ルールの絞り込み,研究報告ソフトウェア工学 (SE),2011,20,1-6,2011,情報処理学会
"亀井靖高; 門田暁人; 松本健一; ",開発者メトリックスに基づくソフトウェア信頼性の分析,電子情報通信学会論文誌 D,93,8,1576-1589,2010,"The Institute of Electronics, Information and Communication Engineers"
"吉岡一樹; 岡野浩三; 楠本真二; ",契約記述の変更傾向の開発履歴情報を用いた調査,"電子情報通信学会技術研究報告. SS, ソフトウェアサイエンス",112,458,121-126,2013,一般社団法人電子情報通信学会
"藤原賢二; 伏田享平; 吉田則裕; 飯田元; ",ソースコード履歴情報に基づくリファクタリングと欠陥の関係分析,平成 22 年度情報処理学会関西支部支部大会講演論文集,2010,,,2010,
"Ahmad, Aakash; Jamshidi, Pooyan; Pahl, Claus; Khaliq, Fawad; ",Special Issue of the First Workshop on Patterns Promotion and Anti-patterns Prevention (PPAP 2013),Electronic Communications of the EASST,59,,,2013,Citeseer
"Ando, Reou; Sato, Seiji; Uchida, Chihiro; Washizaki, Hironori; Fukazawa, Yoshiaki; Inoue, Sakae; Ono, Hiroyuki; Hanai, Yoshiiku; Kanazawa, Masanobu; Sone, Kazutaka; ",How Does Defect Removal Activity of Developer Vary with Development Experience?,,,,,,
"Vibhav Garg, V; Zimmermann, T; Sherwood, K; Eaddy, M; Murphy, G; ","Crosscutting concerns, fault proneness, feature location, requirements traceability, mining software repositories, metrics, statistical analysis, empirical software engineering, open source software.",,,,,2008,the IEEE Computer Society.
"Khurshid, Sarfraz; Perry, Dewayne E; Person, Suzette; ",Analysis of Cross-System Porting and Porting Errors in Software Projects,,,,,,
"Hellendoorn, VJ; ","Empirical Software Linguistics: An Investigation of Code Reviews, Recommendations and Faults",,,,,2015,"TU Delft, Delft University of Technology"
"da Costa, Daniel Alencar; McIntosh, Shane; Shang, Weiyi; Kulesza, Uira; Coelho, Roberta; Hassan, Ahmed; ",A Framework for Evaluating the Results of the SZZ Approach for Identifying Bug-Introducing Changes,IEEE Transactions on Software Engineering,,,,2016,IEEE
"Yamada, Akihisa; Mizuno, Osamu; ",A Text Filtering Based Approach to Classify Bug Injected and Fixed Changes,"Advanced Applied Informatics (IIAIAAI), 2014 IIAI 3rd International Conference on",,,680-686,2014,IEEE
"Sun, Yan; Wang, Qing; Li, Mingshu; ",Understanding the Contribution of Non-source Documents in Improving Missing Link Recovery: An Empirical Study,Proceedings of the 10th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,,,39,2016,ACM
"Ell, Jordan; ",An Exploration of Indirect Conflicts,,,,,2014,University of Victoria
"Kaur, Prabhdeep; Mittal, Puneet; Singh, Amandeep; ",Prediction model for bug re-opens in Mozilla Firefox,,,,,,
"Ihara, Akinori; Kamei, Yasutaka; Ohira, Masao; Hassan, Ahmed E; Ubayashi, Naoyasu; Matsumoto, Ken-ichi; ",Early Identification of Future Committers in Open Source Software Projects,2014 14th International Conference on Quality Software,,,47-56,2014,IEEE
"Cunha, André Amarante dos Santos; ",An empirical investigation of source code metrics and findbugs warnings,,,,,2012,
"神田哲也; 石尾隆; 井上克郎; ",ソースファイルの派生関係の自動抽出,,,,,2012,
"川本公章; 水野修; ",ソフトウェアモジュールにおける識別子の語長と不具合出現に関する分析,研究報告ソフトウェア工学 (SE),2011,4,1-6,2011,
"藏本達也; 亀井靖高; 門田暁人; 松本健一; ",ソフトウェア開発プロジェクトをまたがる fault-prone モジュール判別の試み―18 プロジェクトの実験から得た教訓―,電子情報通信学会論文誌 D,95,3,425-436,2012,"The Institute of Electronics, Information and Communication Engineers"
"Pingen, RA; ",Investigation of the impact of cohesion on the change-proneness of Java interfaces,,,,,2012,"TU Delft, Delft University of Technology"
"Кирносенко, СИ; Лукьянов, ВС; ",Идентификация исправляющих ревизий в системах контроля версий,Известия Волгоградского государственного технического университета,11,9,,2010,Государственное образовательное учреждение высшего профессионального образования «Волгоградский государственный технический университет»
"小須田光; 亀井靖高; 鵜林尚靖; ",クラッシュレポートの送信頻度と不具合との関連付けに関する実証的評価,コンピュータ ソフトウェア,32,4,4_131-4_140,2015,Japan Society for Software Science and Technology
"甘水滔; 秦晓军; 陈左宁; 王林章; ",一种基于特征矩阵的软件脆弱性代码克隆检测方法,软件学报,2,,013,2015,
"亀井靖高; 本真佑; 門田暁人; 松本健一; ",粗粒度モジュールに対するバグ密度予測の精度評価,"電子情報通信学会技術研究報告. SS, ソフトウェアサイエンス",109,456,145-150,2010,一般社団法人電子情報通信学会
"Boogerd, Cathal; Moonen, Leon; ",Using software history to guide deployment of coding standards,,,,,,
"Sliwerski, Jacek; Zimmermann, Thomas; Zeller, Andreas; ",Don’t Program on Fridays!,,,,,,Citeseer
"Nguyen, Viet Hung; Massacci, Fabio; ",The (Un) Reliability of NVD Vulnerable Versions Data: an Empirical Experiment on Browsers’ Vulnerabilities,,,,,,
"Sun, Boya; ",Precision improvement and cost reduction for defect mining and testing,,,,,2012,Case Western Reserve University
"Kim, Youngsoo; Jiang, Lingxiao; ",The Knowledge Accumulation and Transfer in Open-Source Software (OSS) Development,"System Sciences (HICSS), 2015 48th Hawaii International Conference on",,,3811-3820,2015,IEEE
"Hulette, Geoffrey Compton; ",Predicting Fault Locations from Failures Using a Machine Learning Classifier,,,,,2007,Citeseer
"Kawamoto, Kimiaki; Mizuno, Osamu; ",Predicting Fault-Prone Modules Using the Length of Identifiers,"Empirical Software Engineering in Practice (IWESEP), 2012 Fourth International Workshop on",,,30-34,2012,IEEE
"Cook, Devin C; ",Augmenting Traditional Static Analysis With Commonly Available Metadata,,,,,2015,Auburn University
"Burhandenny, Aji Ery; Nakano, Takashi; ",Empirical Study of Change-Prone and Fault-Prone Method Prediction Focusing on Comment Ownership,,,,,,
"Ciancarini, Paolo; Poggi, Francesco; Rossi, Davide; Sillitti, Alberto; ",Mining Concurrency Bugs,,,,,,
"Ramaraju, Aditya; Tebbal, Youcef; ",Predicting the Likelihood of a Software Bug to be Re-Opened,,,,,,
"Gasparic, Marko; Murphy, Gail C; Ricci, Francesco; ",A context model for IDE-based recommendation systems,Journal of Systems and Software,,,,2016,Elsevier
"Bohlooli, Saeed; ",Analysis on a release history database to assist management of the software maintenance,,,,,2013,Concordia University
"Shehzad, Muhammad Faisal; Lali, Muhammad IkramUllah; Nawaz, Muhammad Saqib; ",PATTERNS OF PROPAGATING BUGS IN OPEN SOURCE SOFTWARES,NED University Journal of Research,,,79,2014,NED University of Engineering & Technology
"Agrawal, Tarun Kumar; ",Software Artifacts based Change Controller,,,,,2008,THAPAR UNIVERSITY PATIALA
"Herzig, Kim; Premraj, Rahul; Zimmermann, Thomas; Zeller, Andreas; Heymann, Jürgen; ",Predicting Defects in SAP Products: A Replicated Study,,,,,2008,Citeseer
"Kumari, Madhu; Sharma, Meera; Yadav, Nikita; ",UNDERSTANDING THE DEVELOPER PARTICIPATION IN BUG FIX PROCESS,INTERNATIONAL JOURNAL OF COMPUTERS & TECHNOLOGY,12,8,3823-3828,2014,
"Nguyen, Viet Hung; Dashevskyi, Stanislav; Massacci, Fabio; ",An automatic method for assessing the versions affected by a vulnerability,Empirical Software Engineering,,,1-30,2015,Springer
"Murgia, Alessandro; Concas, Giulio; Marchesi, Michele; Pinna, Sandro; Tonelli, Roberto; ",Empirical study on software metrics and issues in object oriented systems,Emerging Trends in Software Metrics,,,33,2009,
"Lee, Taek; Nam, Jaechang; Han, Donggyun; Kim, Sunghun; In, Hoh; ",Developer Micro Interaction Metrics for Software Defect Prediction,,,,,,IEEE
"Nam, Jaechang; ",Survey on software defect prediction,"Department of Compter Science and Engineerning, The Hong Kong University of Science and Technology, Tech. Rep",,,,2014,Citeseer
"Edwards, H Keith; ",System utilization and changes in implemented information systems: a case study,IAENG International Journal of Computer Science,33,1,68-73,2007,
"Syer, Mark D; Nagappan, Meiyappan; Adams, Bram; Hassan, Ahmed E; ",Replicating and re-evaluating the theory of relative defect-proneness,IEEE Transactions on Software Engineering,41,2,176-197,2015,IEEE
"Green, PD; Lane, Peter CR; Rainer, Austen; Scholz, Sven-Bodo; ",Building Classifiers to Identify Split Files.,,,,,2009,IbaI (Institute of Computer Vision & Applied Computer Sciences)
"Kamei, Yasutaka; Fukushima, Takafumi; McIntosh, Shane; Yamashita, Kazuhiro; Ubayashi, Naoyasu; Hassan, Ahmed E; ",Studying just-in-time defect prediction using cross-project models,Empirical Software Engineering,,,1-35,2015,Springer
"Zhang, Min; Baddoo, Nathan; Wernick, Paul; Hall, Tracy; ",Prioritising refactoring using code bad smells,"Software Testing, Verification and Validation Workshops (ICSTW), 2011 IEEE Fourth International Conference on",,,458-464,2011,IEEE
"Koponen, Timo; ",RaSOSS-Remote Analysis System for Open Source Software,"Software Engineering Advances, International Conference on",,,54-54,2006,IEEE
"Ramler, Rudolf; Klammer, Claus; Natschläger, Thomas; ",The usual suspects: a case study on delivered defects per developer,Proceedings of the 2010 ACM-IEEE International Symposium on Empirical Software Engineering and Measurement,,,48,2010,ACM
"Ferzund, Javed; Ahsan, Syed Nadeem; Wotawa, Franz; ",Empirical evaluation of hunk metrics as bug predictors,International Workshop on Software Measurement,,,242-254,2009,Springer
"Ghezzi, Giacomo; Gall, Harald C; ",Distributed and collaborative software analysis,Collaborative Software Engineering,,,241-263,2010,Springer
"Prechelt, Lutz; Pepper, Alexander; ",Why software repositories are not used for defect-insertion circumstance analysis more often: A case study,Information and Software Technology,56,10,1377-1389,2014,Elsevier
"Jongyindee, Anakorn; Ohira, Masao; Ihara, Akinori; Matsumoto, Ken-ichi; ",Good or Bad Committers? A Case Study of Committers' Cautiousness and the Consequences on the Bug Fixing Process in the Eclipse Project,"Software Measurement, 2011 Joint Conference of the 21st Int'l Workshop on and 6th Int'l Conference on Software Process and Product Measurement (IWSM-MENSURA)",,,116-125,2011,IEEE
"Ghezzi, Giacomo; Gall, Harald C; ",Replicating mining studies with SOFAS,Proceedings of the 10th working conference on mining software repositories,,,363-372,2013,IEEE Press
"Zhao, Yangyang; Yang, Yibiao; Lu, Hongmin; Zhou, Yuming; Song, Qinbao; Xu, Baowen; ",An empirical analysis of package-modularization metrics: Implications for software fault-proneness,Information and Software Technology,57,,186-203,2015,Elsevier
"Hayashi, Hironori; Ihara, Akinori; Monden, Akito; Matsumoto, Ken-ichi; ",Why is collaboration needed in oss projects? a case study of eclipse project,Proceedings of the 2013 International Workshop on Social Software Engineering,,,17-20,2013,ACM
"Schackmann, Holger; Schaefer, Henning; Lichter, Horst; ",Evaluating Process Quality based on Change Request Data–An Empirical Study of the Eclipse Project,International Workshop on Software Measurement,,,227-241,2009,Springer
"Nadi, Sarah; ",DRACA: Decision-support for Root Cause Analysis and Change Impact Analysis,,,,,2009,University of Waterloo
"Eunjoo, LEE; Chisu, WU; ",A Survey on Mining Software Repositories,IEICE TRANSACTIONS on Information and Systems,95,5,1384-1406,2012,"The Institute of Electronics, Information and Communication Engineers"
"Hata, Hideaki; Mizuno, Osamu; Kikuno, Tohru; ",Reconstructing fine-grained versioning repositories with git for method-level bug prediction,IWESEP ‘10,,,27-32,2010,
"Rosen, Christoffer; Grawi, Ben; Shihab, Emad; ",Commit guru: Analytics and risk prediction of software commits,Proceedings of the 2015 10th Joint Meeting on Foundations of Software Engineering,,,966-969,2015,ACM
"Taipale, Taneli; Qvist, Mika; Turhan, Burak; ",Constructing defect predictors and communicating the outcomes to practitioners,2013 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,,,357-362,2013,IEEE
"Mizuno, Osamu; Hata, Hideaki; ",Prediction of Fault-prone Modules Using A Text Filtering Based Metric,International Journal of Software Engineering and Its Applications,4,1,43-52,2010,
"Guo, Qi; Chen, Tianshi; Chen, Yunji; Wang, Rui; Chen, Huanhuan; Hu, Weiwu; Chen, Guoliang; ",Pre-silicon bug forecast,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,33,3,451-463,2014,IEEE
"Herzig, Kim Sebastian; ",Mining and untangling change genealogies,,,,,2013,"Saarbrücken, Universität des Saarlandes, Diss., 2013"
"Hirata, Yukinao; Mizuno, Osamu; ",Do comments explain codes adequately?: investigation by text filtering,Proceedings of the 8th Working Conference on Mining Software Repositories,,,242-245,2011,ACM
"Mauša, Goran; Perković, Paolo; Grbac, Tihana Galinac; Štajduhar, Ivan; ",Techniques for Bug–Code Linking,"Third Workshop on Software Quality Analysis, Monitoring, Improvement and Applications",,,,2014,
"Sato, Seiji; Washizaki, Hironori; Fukazawa, Yoshiaki; Inoue, Sakae; Ono, Hiroyuki; Hanai, Yoshiiku; Yamamoto, Mikihiko; ",Effects of organizational changes on product metrics and defects,2013 20th Asia-Pacific Software Engineering Conference (APSEC),1,,132-139,2013,IEEE
"Poncin, Wouter; ",Process mining software repositories,"Master's thesis, Eindhoven University of Technology",,,,2010,
"Ahsan, Syed Nadeem; Ferzund, Javed; Wotawa, Franz; ",A Database for the Analysis of Program Change Patterns,"Networked Computing and Advanced Information Management, 2008. NCM'08. Fourth International Conference on",2,,32-39,2008,IEEE
"Ell, Jordan; ",Identifying failure inducing developer pairs within developer networks,Proceedings of the 2013 International Conference on Software Engineering,,,1471-1473,2013,IEEE Press
"Zimmermann, Thomas; ",Taking lessons from history,Proceedings of the 28th international conference on Software engineering,,,1001-1005,2006,ACM
"Yu, Liguo; Schach, Stephen R; ",Applying association mining to change propagation,International Journal of Software Engineering and Knowledge Engineering,18,08,1043-1061,2008,World Scientific
"Edwards, Alex; Tucker, Sean; Demsky, Brian; ",AFID: an automated approach to collecting software faults,Automated Software Engineering,17,3,347-372,2010,Springer
"Murgia, Alessandro; Concas, Giulio; Marchesi, Michele; Tonelli, Roberto; Turnu, Ivana; ",An analysis of bug distribution in object oriented systems,arXiv preprint arXiv:0905.3296,,,,2009,
"Nguyen, Viet Hung; Massacci, Fabio; ",An idea of an independent validation of vulnerability discovery models,International Symposium on Engineering Secure Software and Systems,,,89-96,2012,Springer
"Gray, David Philip Harry; ",Software defect prediction using static code metrics: formulating a methodology,,,,,2013,University of Hertfordshire
"de Carvalho Melo, Jean Carlos; Borba, Paulo Henrique Monteiro; ",Improving modular reasoning on preprocessor-based systems,"Software Components, Architectures and Reuse (SBCARS), 2013 VII Brazilian Symposium on",,,11-19,2013,IEEE
"Hryszko, Jarosław; Madeyski, Lech; ",Bottlenecks in software defect prediction implementation in industrial projects,Foundations of Computing and Decision Sciences,40,1,17-33,2015,
"Bavota, Gabriele; ",Using structural and semantic information to support software refactoring,Proceedings of the 34th International Conference on Software Engineering,,,1479-1482,2012,IEEE Press
"Mizuno, Osamu; Hata, Hideaki; ",An integrated approach to detect fault-prone modules using complexity and text feature metrics,Advances in Computer Science and Information Technology,,,457-468,2010,Springer
"Bettenburg, Nicolas; ",Mining development repositories to study the impact of collaboration on software systems,Proceedings of the 19th ACM SIGSOFT symposium and the 13th European conference on Foundations of software engineering,,,376-379,2011,ACM
"Zajac, Petr; Briš, Radim; ",Critical software defects are located in important source code,"Risk, Quality and Reliability-RQR 2007",,,,2007,
"Ayewah, Nathaniel; ",Static analysis in practice,,,,,2010,
"Makedonski, Philip; Sudau, Fabian; Grabowski, Jens; ",Towards a model-based software mining infrastructure,ACM SIGSOFT Software Engineering Notes,40,1,1-8,2015,ACM
"Dal Sasso, Tommaso; Mocci, Andrea; Lanza, Michele; ",Misery loves company: CrowdStacking traces to aid problem detection,"2015 IEEE 22nd International Conference on Software Analysis, Evolution, and Reengineering (SANER)",,,131-140,2015,IEEE
"Murgia, Alessandro; ",Time evolution and distribution analysis of software bugs from a complex network perspective,,,,,2011,Universita'degli Studi di Cagliari
"Shao, Danhua; Khurshid, Sarfraz; Perry, Dewayne E; ",Detecting Semantic Interference in Parallel Changes: An Exploratory Case Study,Submitted for publication,,,,2006,
"Oliva, Gustavo Ansaldi; Gerosa, Marco Aurélio; ",A Method for the Identification of Logical Dependencies,2012 IEEE Seventh International Conference on Global Software Engineering Workshops,,,70-72,2012,IEEE
"Nguyen, Viet Hung; Massacci, Fabio; ",A Systematically Empirical Evaluation of Vulnerability Discovery Models: a Study on Browsers' Vulnerabilities,arXiv preprint arXiv:1306.2476,,,,2013,
"Bavota, Gabriele; Russo, Barbara; ",Four eyes are better than two: On the impact of code reviews on software quality,"Software Maintenance and Evolution (ICSME), 2015 IEEE International Conference on",,,81-90,2015,IEEE
"Avgustinov, Pavel; Baars, Arthur I; Henriksen, Anders S; Lavender, Greg; Menzel, Galen; de Moor, Oege; Schäfer, Max; Tibble, Julian; ",Tracking static analysis violations over time to capture developer characteristics,Proceedings of the 37th International Conference on Software Engineering-Volume 1,,,437-447,2015,IEEE Press
"Ohira, Masao; Koyama, Kiwako; Ihara, Akinori; Matsumoto, Shinsuke; Kamei, Yasutaka; Matsumoto, Ken-ichi; ",A time-lag analysis for improving communication among OSS developers,JSAI International Symposium on Artificial Intelligence,,,135-146,2009,Springer
"Jaafar, Fehmi; Guéhéneuc, Yann-Gaël; Hamel, Sylvie; Khomh, Foutse; Zulkernine, Mohammad; ",Evaluating the impact of design pattern and anti-pattern dependencies on changes and faults,Empirical Software Engineering,21,3,896-931,2016,Springer
"Mathew, George; Agarwal, Amritanshu; Menzies, Tim; ",Trends in topics at SE conferences (1993-2013),arXiv preprint arXiv:1608.08100,,,,2016,
"Fujiwara, Kenji; Fushida, Kyohei; Yoshida, Norihiro; Iida, Hajimu; ",Assessing refactoring instances and the maintainability benefits of them from version archives,International Conference on Product Focused Software Process Improvement,,,313-323,2013,Springer
"Misirli, Ayse Tosun; Shihab, Emad; Kamei, Yasukata; ",Studying high impact fix-inducing changes,Empirical Software Engineering,21,2,605-641,2016,Springer
"Davies, Steven; Roper, Marc; Wood, Murray; ",Comparing text‐based and dependence‐based approaches for determining the origins of bugs,Journal of Software: Evolution and Process,26,1,107-139,2014,Wiley Online Library
"Zajac, Petr; Briš, Radim; TU-Ostrava, VŠB; ",Mining software repositories with modified compiler,International Workshop Control and Information Technology-IWCIT,,,,2007,Citeseer
"Silva, Luciana Lourdes; Valente, Marco Tulio; Maia, Marcelo de A; ",Co-change clusters: Extraction and application on assessing software modularity,Transactions on Aspect-Oriented Software Development XII,,,96-131,2015,Springer
"Rahman, Foyzur; Devanbu, Premkumar; ",Ownership and experience in fix-inducing code,"UC Davis Department of Computer Science, Tech. Rep. CSE-2010",,,,2010,
"Gu, Zhongxian; ",Toward Effective Debugging by Capturing and Reusing Knowledge,,,,,2013,UNIVERSITY OF CALIFORNIA DAVIS
"An, Le; Khomh, Foutse; ",An empirical study of crash-inducing commits in mozilla firefox,Proceedings of the 11th International Conference on Predictive Models and Data Analytics in Software Engineering,,,5,2015,ACM
"Yu, Liguo; Ramaswamy, Srini; ",Using bug report as a software quality measure: an empirical study,International Journal of Information Quality,3,2,164-183,2013,Inderscience Publishers
"Kamei, Yasutaka; Shihab, Emad; ",Defect prediction: Accomplishments and future challenges,"2016 IEEE 23rd International Conference on Software Analysis, Evolution, and Reengineering (SANER)",5,,33-45,2016,IEEE
"Sun, Bo; ",A Methodology for Analyzing Cost and Cost-Drivers of Technical Software Documentation,,,,,2012,University of Calgary
"Yu, Xingliang; Li, Jing; Zhong, Hua; ",On Reducing the Pre-release Failures of Web Plug-In on Social Networking Site,International Conference on Software Process,,,236-245,2009,Springer
"Edwards, H Keith; ","Post-implementation management in large-scale management information systems: Changes, incident reports, help desk calls, and business process",International Journal of Business and Information,3,2,,2015,
"Perl, Henning; Dechand, Sergej; Smith, Matthew; Arp, Daniel; Yamaguchi, Fabian; Rieck, Konrad; Fahl, Sascha; Acar, Yasemin; ",Vccfinder: Finding potential vulnerabilities in open-source projects to assist code audits,Proceedings of the 22nd ACM SIGSAC Conference on Computer and Communications Security,,,426-437,2015,ACM
"Oyetoyan, Tosin Daniel; Cruzes, Daniela Soares; Conradi, Reidar; ",Transition and defect patterns of components in dependency cycles during software evolution,"Software Maintenance, Reengineering and Reverse Engineering (CSMR-WCRE), 2014 Software Evolution Week-IEEE Conference on",,,283-292,2014,IEEE
"Simpson, Braden; ",Changeset based developer communication to detect software failures,2013 35th International Conference on Software Engineering (ICSE),,,1468-1470,2013,IEEE
"Zhang, Feng; Mockus, Audris; Keivanloo, Iman; Zou, Ying; ",Towards building a universal defect prediction model with rank transformed predictors,Empirical Software Engineering,,,1-39,2015,Springer
"Mizuno, Osamu; Hirata, Yukinao; ",Fault-prone module prediction using contents of comment lines,Proc. of International Workshop on Empirical Software Engineering in Practice 2010 (IWESEP2010),12,,39-44,2010,
"Mizuno, Osamu; Hata, Hideaki; ",Yet Another Metric for Predicting Fault-Prone Modules,International Conference on Advanced Software Engineering and Its Applications,,,296-304,2009,Springer
"Diehl, Stephan; Zeller, Andreas; Zimmermann, Thomas; ",Was Software-Archive erzählen.,Software Engineering,,,39-50,2006,
"Zhang, Feng; Hassan, Ahmed E; McIntosh, Shane; Zou, Ying; ",The use of summation to aggregate software metrics hinders the performance of defect prediction models,IEEE Transactions on Software Engineering,1,,1-16,2016,IEEE
"Hata, Hideaki; Mizuno, Osamu; Kikuno, Tohru; ",Comparative Study of Fault-Proneness Filtering with PMD,2008 19th International Symposium on Software Reliability Engineering (ISSRE),,,,2008,
"Hindle, Abram; ",Evidence-based software process recovery,,,,,2010,University of Waterloo
"Yuan, Zi; Yu, Lili; Liu, Chao; Zhang, Linghua; ",Predicting bugs in source code changes with incremental learning method,Journal of Software,8,7,1620-1633,2013,
"Wehaibi, Sultan; Shihab, Emad; Guerrouj, Latifa; ",Examining the impact of self-admitted technical debt on software quality,"2016 IEEE 23rd International Conference on Software Analysis, Evolution, and Reengineering (SANER)",1,,179-188,2016,IEEE
"Kouroshfar, Ehsan; Mirakhorli, Mehdi; Bagheri, Hamid; Xiao, Lu; Malek, Sam; Cai, Yuanfang; ",A Study on the Role of Software Architecture in the Evolution and Quality of Software,Proceedings of the 12th Working Conference on Mining Software Repositories,,,246-257,2015,IEEE Press
"Giger, Emanuel; Pinzger, Martin; Gall, Harald; ",Using the gini coefficient for bug prediction in eclipse,Proceedings of the 12th International Workshop on Principles of Software Evolution and the 7th annual ERCIM Workshop on Software Evolution,,,51-55,2011,ACM
"Herzig, Kim Sebastian; ",Capturing the long-term impact of changes,Proceedings of the 32nd ACM/IEEE International Conference on Software Engineering-Volume 2,,,393-396,2010,ACM
"Voinea, Stefan-Lucian; ",Software evolution visualization,Dissertation Abstracts International,68,04,,2007,Citeseer
"Bettenburg, Nicolas; Adams, Bram; Hassan, Ahmed E; Smidt, Michel; ",A lightweight approach to uncover technical artifacts in unstructured data,"Program Comprehension (ICPC), 2011 IEEE 19th International Conference on",,,185-188,2011,IEEE
"Chen, Tse-Hsun; Nagappan, Meiyappan; Shihab, Emad; Hassan, Ahmed E; ",An empirical study of dormant bugs,Proceedings of the 11th Working Conference on Mining Software Repositories,,,82-91,2014,ACM
"Eaddy, Marc; ",An empirical assessment of the crosscutting concern problem,,,,,2008,Citeseer
"Mizuno, Osamu; Ikami, Shiro; Nakaichi, Shuya; Kikuno, Tohru; ",Fault-prone filtering: Detection of fault-prone modules using spam filtering technique,First International Symposium on Empirical Software Engineering and Measurement (ESEM 2007),,,374-383,2007,IEEE
"Sun, Boya; Shu, Gang; Podgurski, Andy; Li, Shirong; Zhang, Shijie; Yang, Jiong; ",Propagating bug fixes with fast subgraph matching,2010 IEEE 21st International Symposium on Software Reliability Engineering,,,21-30,2010,IEEE
"Hata, Hideaki; Mizuno, Osamu; Kikuno, Tohru; ",An extension of fault-prone filtering using precise training and a dynamic threshold,Proceedings of the 2008 international working conference on Mining software repositories,,,89-98,2008,ACM
"Siy, Harvey; Chundi, Parvathi; Rosenkrantz, Daniel J; Subramaniam, Mahadevan; ",Discovering dynamic developer relationships from software version histories by time series segmentation,2007 IEEE International Conference on Software Maintenance,,,415-424,2007,IEEE
"Nguyen, Viet Hung; Massacci, Fabio; ",An independent validation of vulnerability discovery models,"Proceedings of the 7th ACM Symposium on Information, Computer and Communications Security",,,6-7,2012,ACM
"An, Le; Khomh, Foutse; Adams, Bram; ",Supplementary Bug Fixes vs. Re-opened Bugs.,SCAM,,,205-214,2014,
"Ghezzi, Giacomo; Gall, Harald C; ",A framework for semi-automated software evolution analysis composition,Automated Software Engineering,20,3,463-496,2013,Springer
"Bettenburg, Nicolas; Thomas, Stephen W; Hassan, Ahmed E; ",Using fuzzy code search to link code fragments in discussions to source code,"Software Maintenance and Reengineering (CSMR), 2012 16th European Conference on",,,319-328,2012,IEEE
"Zhang, Min; Baddoo, Nathan; ",Performance comparison of software complexity metrics in an open source project,European Conference on Software Process Improvement,,,160-174,2007,Springer
"Berdou, Evangelia; ","Managing the Bazaar: Commercialization and peripheral participation in mature, community-led Free/Open source software projects",,,,,2007,London School of Economics and Political Science
"Monden, Akito; Hayashi, Takuma; Shinoda, Shoji; Shirai, Kumiko; Yoshida, Junichi; Barker, Mike; Matsumoto, Kenichi; ",Assessing the cost effectiveness of fault prediction in acceptance testing,IEEE Transactions on Software Engineering,39,10,1345-1357,2013,IEEE
"Marinescu, Paul; Hosek, Petr; Cadar, Cristian; ","Covrig: A framework for the analysis of code, test, and coverage evolution in real software",Proceedings of the 2014 International Symposium on Software Testing and Analysis,,,93-104,2014,ACM
"Kim, Miryung; ",Analyzing and inferring the structure of code change,,,,,2008,ProQuest
"Tan, Ming; Tan, Lin; Dara, Sashank; Mayeux, Caleb; ",Online defect prediction for imbalanced data,Proceedings of the 37th International Conference on Software Engineering-Volume 2,,,99-108,2015,IEEE Press
"Bangcharoensap, Phiradet; Ihara, Akinori; Kamei, Yasutaka; Matsumoto, Ken-ichi; ",Locating source code to be fixed based on initial bug reports-a case study on the eclipse project,"Empirical Software Engineering in Practice (IWESEP), 2012 Fourth International Workshop on",,,10-15,2012,IEEE
"Ray, Baishakhi; Kim, Miryung; Person, Suzette; Rungta, Neha; ",Detecting and characterizing semantic inconsistencies in ported code,"Automated Software Engineering (ASE), 2013 IEEE/ACM 28th International Conference on",,,367-377,2013,IEEE
"Toth, Zoltan; Novak, Gabor; Ferenc, Rudolf; Siket, Istvan; ",Using version control history to follow the changes of source code elements,"Software Maintenance and Reengineering (CSMR), 2013 17th European Conference on",,,319-322,2013,IEEE
"Würsch, Michael; Reif, Gerald; Demeyer, Serge; Gall, Harald C; ",Fostering synergies: how semantic web technology could influence software repositories,"Proceedings of 2010 ICSE Workshop on Search-driven Development: Users, Infrastructure, Tools and Evaluation",,,45-48,2010,ACM
"Schackmann, Holger; Lichter, Horst; ",Comparison of process quality characteristics based on change request data,Software Process and Product Measurement,,,127-140,2008,Springer
"Lintula, Heli; Koponen, Timo; Hotti, Virpi; ",Exploring the Maintenance Process through the Defect Management in the Open Source Projects-Four Case Studies,"Software Engineering Advances, International Conference on",,,53-53,2006,IEEE
